number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_weight_0,params_weight_1,params_weight_2,state,trial_number,iterations,learning_rate,depth,l2_leaf_reg,class_weight_0,class_weight_1,class_weight_2,f1_score
20.0,0.3838725688933935,2025-03-30 21:50:25.087615,2025-03-30 21:50:26.183762,0 days 00:00:01.096147,7.0,304.0,2.3451818075027244,0.0250636333522584,1.9957911216506363,3.915933300851483,5.743894185496211,COMPLETE,,,,,,,,,
21.0,0.4703305514499478,2025-03-30 21:50:26.185781,2025-03-30 21:50:29.953132,0 days 00:00:03.767351,9.0,220.0,0.2994036101283168,0.0140665723686361,1.7500336406081154,3.0759539400352662,4.050182164815631,COMPLETE,,,,,,,,,
22.0,0.4615012951106577,2025-03-30 21:50:29.953132,2025-03-30 21:50:34.426751,0 days 00:00:04.473619,9.0,204.0,0.288829066159517,0.0081033370981036,1.7571711133458994,2.5644279245901425,4.328439855794491,COMPLETE,,,,,,,,,
23.0,0.4967138004624312,2025-03-30 21:50:34.429510,2025-03-30 21:50:36.198379,0 days 00:00:01.768869,7.0,151.0,0.4775008850367855,0.0153689946134148,1.661310708710459,3.039651660191019,4.968728995385854,COMPLETE,,,,,,,,,
24.0,0.1413306482546989,2025-03-30 21:50:36.198379,2025-03-30 21:50:37.176502,0 days 00:00:00.978123,7.0,146.0,1.5690170983342244,0.0343624154140137,1.527458784880969,3.8140578848007873,5.013065559164278,COMPLETE,,,,,,,,,
25.0,0.1959667303571566,2025-03-30 21:50:37.176502,2025-03-30 21:50:38.952265,0 days 00:00:01.775763,7.0,100.0,0.0324398765281346,0.0176046161723525,1.686888960742528,4.397055538996968,4.873123267453183,COMPLETE,,,,,,,,,
26.0,0.1413306482546989,2025-03-30 21:50:38.952265,2025-03-30 21:50:40.643437,0 days 00:00:01.691172,8.0,190.0,0.5931324616227549,0.0523511333634901,1.3275115760432548,2.666105823658333,4.3112067463091535,COMPLETE,,,,,,,,,
27.0,0.445740369558409,2025-03-30 21:50:40.643437,2025-03-30 21:50:41.174700,0 days 00:00:00.531263,5.0,153.0,0.1201471519040482,0.0057891226808492,1.875277315062758,3.1358620434393103,5.718496949398813,COMPLETE,,,,,,,,,
28.0,0.1413306482546989,2025-03-30 21:50:41.174700,2025-03-30 21:50:42.117743,0 days 00:00:00.943043,7.0,287.0,4.9455514931392175,0.0190272814793649,0.5132690135469187,2.268290646762372,4.386684923414288,COMPLETE,,,,,,,,,
29.0,0.2664638912206426,2025-03-30 21:50:42.117743,2025-03-30 21:50:44.595594,0 days 00:00:02.477851,8.0,174.0,0.007797955294727,0.0034707572907151,1.53339093999325,4.250460913015727,4.831671336199607,COMPLETE,,,,,,,,,
30.0,0.1491028175119202,2025-03-30 21:50:44.595594,2025-03-30 21:50:45.117896,0 days 00:00:00.522302,5.0,126.0,1.2167763414500503,0.2249585031466556,0.9799435934984017,2.428651674584419,7.107343239299007,COMPLETE,,,,,,,,,
31.0,0.5105111004365865,2025-03-30 21:50:45.121439,2025-03-30 21:50:49.617966,0 days 00:00:04.496527,9.0,227.0,0.3980991988946548,0.0123805045944009,1.7458139190329718,3.1468581596182665,4.0452146089669325,COMPLETE,,,,,,,,,
32.0,0.4566961133858267,2025-03-30 21:50:49.617966,2025-03-30 21:50:54.299939,0 days 00:00:04.681973,9.0,238.0,0.4123632876005865,0.0097746297934101,1.9934225674037844,2.768653227968327,4.46943225817187,COMPLETE,,,,,,,,,
33.0,0.4541398257251466,2025-03-30 21:50:54.307628,2025-03-30 21:50:58.688351,0 days 00:00:04.380723,9.0,496.0,0.6802721860308668,0.0240208229591264,1.6612835317647088,3.217735564122385,4.174088283653572,COMPLETE,,,,,,,,,
34.0,0.3864135698139454,2025-03-30 21:50:58.688351,2025-03-30 21:51:01.152781,0 days 00:00:02.464430,8.0,165.0,0.1792303856197258,0.0428411518071158,1.8260746402204813,3.708854069933097,4.688537927497661,COMPLETE,,,,,,,,,
35.0,0.459530934660343,2025-03-30 21:51:01.158381,2025-03-30 21:51:04.391307,0 days 00:00:03.232926,8.0,196.0,0.4784721045445289,0.012204191638853,1.7019042632344783,2.8732674404426293,4.245208877338579,COMPLETE,,,,,,,,,
36.0,0.1413306482546989,2025-03-30 21:51:04.394350,2025-03-30 21:51:05.437469,0 days 00:00:01.043119,7.0,338.0,2.937626662231655,0.006423383562592,1.426755020885943,3.247118600201224,6.720464666594559,COMPLETE,,,,,,,,,
37.0,0.4657007773433885,2025-03-30 21:51:05.439487,2025-03-30 21:51:06.149387,0 days 00:00:00.709900,6.0,375.0,1.0329640217737512,0.003855504339752,1.58172429979564,2.8124999350228554,5.0566363602034965,COMPLETE,,,,,,,,,
38.0,0.1413306482546989,2025-03-30 21:51:06.151455,2025-03-30 21:51:06.602971,0 days 00:00:00.451516,4.0,132.0,0.0984708342681117,0.0893767649891506,1.812313823382027,5.124843207434203,4.009477213690597,COMPLETE,,,,,,,,,
39.0,0.445740369558409,2025-03-30 21:51:06.602971,2025-03-30 21:51:08.310399,0 days 00:00:01.707428,8.0,151.0,7.942126141026327,0.018872656572748,1.8964862659118733,2.1331187523190662,4.401545415651027,COMPLETE,,,,,,,,,
40.0,0.1413306482546989,2025-03-30 21:51:08.312986,2025-03-30 21:51:11.276798,0 days 00:00:02.963812,9.0,189.0,0.0331820362205141,0.0367565646547326,1.632471873484482,5.750021726243164,4.783923166297529,COMPLETE,,,,,,,,,
41.0,0.4828458057198058,2025-03-30 21:51:11.278910,2025-03-30 21:51:15.898938,0 days 00:00:04.620028,9.0,220.0,0.2802748475117808,0.0128291823982384,1.7514612368330962,3.0314482184726623,4.042158481638113,COMPLETE,,,,,,,,,
